feature,importance_mean,importance_std
pm2_5_lag_1,19.206620885521275,0.373151528018485
pm2_5_lag_2,4.135304115087322,0.12060380857957431
pm2_5_roll_3,2.291743055423468,0.0947201420616046
pm10_max,2.237865451240061,0.1413245305145886
pm10_mean,1.1930410950699986,0.07928951119742096
pm2_5_roll_7,1.187973584481367,0.07689052521393498
relative_humidity_2m_mean,0.9548710004106398,0.05280597009114039
city,0.7545008933218118,0.0458877940450518
nitrogen_dioxide_max,0.6460550202043189,0.043667639176898296
temperature_2m_mean,0.5949183195445455,0.06517029623688654
month_cos,0.42888027019179664,0.03344334572462008
day_of_year_cos,0.4125861791299599,0.040880844120943415
wind_gusts_10m_max,0.24465687072290665,0.04013735027128099
month_sin,0.21682365255862268,0.05522839052951782
nitrogen_dioxide_mean,0.13900476378300963,0.0269808671014206
wind_speed_10m_mean,0.017490526215619306,0.0062808703400523075
precipitation_sum,0.015287593059922555,0.009081858308607553
ozone_max,0.014432395261368969,0.006116004424986567
pm2_5_lag_3,0.008121643775170329,0.004778475127233597
pm2_5_roll_7_std,0.00088122858772266,0.0072141027484702675
day_of_year_sin,-0.004158628851320456,0.0008978586299879127
ozone_mean,-0.0048041119897603846,0.005578963085908777
